Source,Target,Weight,Type
汤成兰,沙瑞金,1,undirected
汤成兰,蔡成功,1,undirected
汤成兰,郑西坡,1,undirected
汤成兰,王文革,1,undirected
陈文强,侯亮平,1,undirected
陈文强,丁义珍,1,undirected
陈文强,蔡成功,1,undirected
陈文强,陈海,1,undirected
秦奔,陈清泉,1,undirected
钱律师,陈岩石,1,undirected
钱律师,王文革,1,undirected
钱律师,蔡英俊,1,undirected
赵德汉妻,侯亮平,1,undirected
赵德汉妻,赵德汉,1,undirected
张树立,沙瑞金,1,undirected
张树立,李达康,1,undirected
张树立,高育良,1,undirected
张树立,季昌明,1,undirected
张树立,孙连城,1,undirected
张树立,丁义珍,1,undirected
张树立,陈清泉,1,undirected
张树立,孙海平,1,undirected
司机小钱,侯亮平,2,undirected
司机小钱,陆亦可,1,undirected
司机小钱,季昌明,1,undirected
司机小钱,陈岩石,1,undirected
司机小钱,蔡成功,2,undirected
司机小钱,陈群芳,1,undirected
司机小钱,尤瑞星,1,undirected
刘生,赵瑞龙,3,undirected
刘生,杜伯仲,3,undirected
吴春林,沙瑞金,2,undirected
吴春林,高育良,1,undirected
吴春林,祁同伟,2,undirected
吴春林,易学习,1,undirected
吴春林,田国富,2,undirected
蔡英俊,祁同伟,1,undirected
蔡英俊,赵瑞龙,1,undirected
蔡英俊,陈岩石,1,undirected
蔡英俊,王文革,2,undirected
交警,李达康,1,undirected
交警,赵东来,1,undirected
交警,陈岩石,1,undirected
交警,程度,1,undirected
交警,郑西坡,1,undirected
交警,张宝宝,1,undirected
交警,尤瑞星,1,undirected
王馥真,侯亮平,2,undirected
王馥真,沙瑞金,1,undirected
王馥真,高育良,1,undirected
王馥真,陈岩石,4,undirected
王馥真,陈海,2,undirected
王馥真,陈清泉,1,undirected
王馥真,郑西坡,1,undirected
毕敬业,祁同伟,2,undirected
毕敬业,丁义珍,2,undirected
何阿三,丁义珍,3,undirected
雷警官,程度,1,undirected
雷警官,郑西坡,1,undirected
雷警官,林华华,1,undirected
孙海平,李达康,1,undirected
孙海平,陈清泉,3,undirected
王经理,侯亮平,3,undirected
王经理,赵东来,2,undirected
王经理,程度,3,undirected
秦思远,侯亮平,4,undirected
秦思远,钟小艾,1,undirected
秦思远,陈岩石,1,undirected
秦思远,陈海,3,undirected
钱秘书长,李达康,1,undirected
钱秘书长,高育良,3,undirected
钱秘书长,祁同伟,1,undirected
钱秘书长,易学习,3,undirected
吴心仪,侯亮平,3,undirected
吴心仪,陆亦可,3,undirected
吴心仪,季昌明,3,undirected
常成虎,祁同伟,1,undirected
常成虎,蔡成功,1,undirected
常成虎,程度,2,undirected
常成虎,郑西坡,1,undirected
丁秀萍,侯亮平,1,undirected
丁秀萍,田国富,1,undirected
丁秀萍,吕梁,2,undirected
钱队长,赵东来,1,undirected
钱队长,程度,1,undirected
钱队长,陈清泉,2,undirected
钱队长,花斑虎,2,undirected
陈群芳,侯亮平,4,undirected
陈群芳,陆亦可,3,undirected
陈群芳,季昌明,2,undirected
陈群芳,丁义珍,1,undirected
陈群芳,蔡成功,3,undirected
陈群芳,欧阳菁,2,undirected
陈群芳,林华华,2,undirected
陈群芳,尤瑞星,1,undirected
毛娅,沙瑞金,3,undirected
毛娅,李达康,2,undirected
毛娅,易学习,5,undirected
毛娅,欧阳菁,2,undirected
毛娅,王大路,2,undirected
魏彩霞,侯亮平,3,undirected
魏彩霞,陆亦可,2,undirected
魏彩霞,高育良,2,undirected
魏彩霞,赵东来,2,undirected
魏彩霞,丁义珍,2,undirected
魏彩霞,陈岩石,1,undirected
魏彩霞,郑西坡,1,undirected
魏彩霞,张宝宝,1,undirected
花斑虎,侯亮平,1,undirected
花斑虎,祁同伟,1,undirected
花斑虎,季昌明,1,undirected
花斑虎,赵东来,3,undirected
花斑虎,赵瑞龙,2,undirected
花斑虎,丁义珍,3,undirected
花斑虎,陈岩石,1,undirected
花斑虎,刘新建,1,undirected
花斑虎,王文革,1,undirected
侯浩然,侯亮平,8,undirected
侯浩然,钟小艾,5,undirected
侯浩然,小皮球,1,undirected
张宝宝,侯亮平,1,undirected
张宝宝,陆亦可,1,undirected
张宝宝,高育良,1,undirected
张宝宝,赵东来,1,undirected
张宝宝,陈岩石,1,undirected
张宝宝,郑西坡,6,undirected
张宝宝,尤瑞星,1,undirected
王文革,沙瑞金,2,undirected
王文革,祁同伟,1,undirected
王文革,赵瑞龙,2,undirected
王文革,丁义珍,1,undirected
王文革,陈岩石,4,undirected
王文革,蔡成功,2,undirected
王文革,陈海,1,undirected
王文革,郑西坡,3,undirected
杜伯仲,侯亮平,2,undirected
杜伯仲,高育良,6,undirected
杜伯仲,祁同伟,2,undirected
杜伯仲,赵瑞龙,11,undirected
杜伯仲,田国富,2,undirected
杜伯仲,程度,1,undirected
尤瑞星,侯亮平,7,undirected
尤瑞星,沙瑞金,1,undirected
尤瑞星,陆亦可,5,undirected
尤瑞星,祁同伟,1,undirected
尤瑞星,季昌明,1,undirected
尤瑞星,田国富,1,undirected
尤瑞星,陈岩石,6,undirected
尤瑞星,蔡成功,5,undirected
尤瑞星,程度,1,undirected
尤瑞星,陈海,1,undirected
尤瑞星,郑西坡,3,undirected
尤瑞星,林华华,1,undirected
尤瑞星,周正,1,undirected
尤瑞星,吕梁,1,undirected
孙连城,沙瑞金,2,undirected
孙连城,李达康,14,undirected
孙连城,高育良,1,undirected
孙连城,季昌明,1,undirected
孙连城,丁义珍,1,undirected
孙连城,陈岩石,2,undirected
孙连城,程度,1,undirected
孙连城,郑西坡,1,undirected
孙连城,欧阳菁,1,undirected
肖钢玉,侯亮平,12,undirected
肖钢玉,陆亦可,1,undirected
肖钢玉,高育良,6,undirected
肖钢玉,祁同伟,3,undirected
肖钢玉,季昌明,5,undirected
肖钢玉,赵东来,1,undirected
肖钢玉,赵瑞龙,2,undirected
肖钢玉,陈岩石,2,undirected
肖钢玉,刘新建,1,undirected
肖钢玉,蔡成功,1,undirected
肖钢玉,陈清泉,1,undirected
肖钢玉,吕梁,6,undirected
周正,侯亮平,3,undirected
周正,陆亦可,8,undirected
周正,季昌明,1,undirected
周正,赵东来,1,undirected
周正,丁义珍,10,undirected
周正,蔡成功,3,undirected
周正,陈海,1,undirected
周正,欧阳菁,1,undirected
周正,林华华,7,undirected
赵德汉,侯亮平,10,undirected
赵德汉,丁义珍,6,undirected
赵德汉,陈海,3,undirected
赵德汉,小皮球,1,undirected
小皮球,侯亮平,12,undirected
小皮球,陆亦可,3,undirected
小皮球,丁义珍,1,undirected
小皮球,陈海,3,undirected
吕梁,侯亮平,14,undirected
吕梁,高育良,1,undirected
吕梁,季昌明,3,undirected
吕梁,田国富,3,undirected
吕梁,陈岩石,3,undirected
吕梁,蔡成功,2,undirected
吕梁,林华华,1,undirected
梁璐,侯亮平,4,undirected
梁璐,沙瑞金,1,undirected
梁璐,高育良,2,undirected
梁璐,祁同伟,17,undirected
梁璐,钟小艾,2,undirected
梁璐,吴惠芬,3,undirected
梁璐,丁义珍,1,undirected
梁璐,陈岩石,1,undirected
梁璐,陈海,2,undirected
王大路,沙瑞金,1,undirected
王大路,李达康,11,undirected
王大路,易学习,3,undirected
王大路,丁义珍,1,undirected
王大路,欧阳菁,12,undirected
钟小艾,侯亮平,23,undirected
钟小艾,沙瑞金,1,undirected
钟小艾,高育良,6,undirected
钟小艾,祁同伟,5,undirected
钟小艾,季昌明,3,undirected
钟小艾,吴惠芬,2,undirected
钟小艾,陈岩石,1,undirected
钟小艾,陈海,3,undirected
田国富,侯亮平,8,undirected
田国富,沙瑞金,18,undirected
田国富,李达康,2,undirected
田国富,陆亦可,1,undirected
田国富,高育良,9,undirected
田国富,祁同伟,7,undirected
田国富,季昌明,1,undirected
田国富,赵瑞龙,5,undirected
田国富,易学习,8,undirected
田国富,吴惠芬,1,undirected
田国富,陈岩石,1,undirected
田国富,欧阳菁,1,undirected
陈清泉,侯亮平,2,undirected
陈清泉,李达康,6,undirected
陈清泉,陆亦可,2,undirected
陈清泉,高育良,4,undirected
陈清泉,祁同伟,3,undirected
陈清泉,赵东来,4,undirected
陈清泉,赵瑞龙,1,undirected
陈清泉,陈岩石,1,undirected
陈清泉,刘新建,1,undirected
陈清泉,陈海,1,undirected
程度,侯亮平,3,undirected
程度,李达康,5,undirected
程度,陆亦可,2,undirected
程度,高育良,1,undirected
程度,祁同伟,7,undirected
程度,赵东来,5,undirected
程度,赵瑞龙,4,undirected
程度,丁义珍,1,undirected
程度,陈岩石,2,undirected
程度,刘新建,2,undirected
程度,蔡成功,1,undirected
程度,郑西坡,7,undirected
程度,林华华,1,undirected
吴惠芬,侯亮平,14,undirected
吴惠芬,李达康,2,undirected
吴惠芬,陆亦可,1,undirected
吴惠芬,高育良,24,undirected
吴惠芬,祁同伟,6,undirected
吴惠芬,赵瑞龙,3,undirected
吴惠芬,易学习,1,undirected
吴惠芬,刘新建,1,undirected
林华华,侯亮平,12,undirected
林华华,陆亦可,13,undirected
林华华,季昌明,1,undirected
林华华,赵东来,2,undirected
林华华,赵瑞龙,2,undirected
林华华,丁义珍,5,undirected
林华华,蔡成功,4,undirected
林华华,陈海,5,undirected
林华华,欧阳菁,7,undirected
易学习,沙瑞金,16,undirected
易学习,李达康,16,undirected
易学习,高育良,2,undirected
易学习,祁同伟,1,undirected
易学习,赵瑞龙,3,undirected
易学习,丁义珍,1,undirected
易学习,欧阳菁,2,undirected
季昌明,侯亮平,37,undirected
季昌明,沙瑞金,10,undirected
季昌明,李达康,6,undirected
季昌明,陆亦可,12,undirected
季昌明,高育良,12,undirected
季昌明,祁同伟,3,undirected
季昌明,赵东来,2,undirected
季昌明,赵瑞龙,2,undirected
季昌明,丁义珍,4,undirected
季昌明,陈岩石,4,undirected
季昌明,刘新建,3,undirected
季昌明,蔡成功,10,undirected
季昌明,陈海,3,undirected
季昌明,欧阳菁,5,undirected
刘新建,侯亮平,27,undirected
刘新建,沙瑞金,1,undirected
刘新建,李达康,2,undirected
刘新建,陆亦可,6,undirected
刘新建,高育良,5,undirected
刘新建,祁同伟,11,undirected
刘新建,赵东来,2,undirected
刘新建,赵瑞龙,19,undirected
刘新建,丁义珍,3,undirected
刘新建,陈岩石,1,undirected
刘新建,蔡成功,3,undirected
刘新建,欧阳菁,3,undirected
欧阳菁,侯亮平,16,undirected
欧阳菁,沙瑞金,3,undirected
欧阳菁,李达康,31,undirected
欧阳菁,陆亦可,7,undirected
欧阳菁,高育良,1,undirected
欧阳菁,祁同伟,1,undirected
欧阳菁,赵东来,4,undirected
欧阳菁,赵瑞龙,1,undirected
欧阳菁,丁义珍,4,undirected
欧阳菁,蔡成功,20,undirected
欧阳菁,陈海,1,undirected
郑西坡,侯亮平,3,undirected
郑西坡,沙瑞金,3,undirected
郑西坡,李达康,6,undirected
郑西坡,陆亦可,2,undirected
郑西坡,高育良,1,undirected
郑西坡,赵东来,3,undirected
郑西坡,陈岩石,12,undirected
郑西坡,蔡成功,18,undirected
陈岩石,侯亮平,19,undirected
陈岩石,沙瑞金,20,undirected
陈岩石,李达康,13,undirected
陈岩石,陆亦可,5,undirected
陈岩石,高育良,4,undirected
陈岩石,祁同伟,6,undirected
陈岩石,赵东来,4,undirected
陈岩石,赵瑞龙,1,undirected
陈岩石,丁义珍,2,undirected
陈岩石,蔡成功,3,undirected
陈岩石,陈海,8,undirected
陈海,侯亮平,39,undirected
陈海,沙瑞金,4,undirected
陈海,陆亦可,20,undirected
陈海,高育良,6,undirected
陈海,祁同伟,4,undirected
陈海,赵东来,10,undirected
陈海,丁义珍,12,undirected
陈海,蔡成功,7,undirected
赵东来,侯亮平,22,undirected
赵东来,沙瑞金,3,undirected
赵东来,李达康,14,undirected
赵东来,陆亦可,19,undirected
赵东来,高育良,1,undirected
赵东来,祁同伟,13,undirected
赵东来,赵瑞龙,1,undirected
赵东来,丁义珍,6,undirected
赵东来,蔡成功,15,undirected
丁义珍,侯亮平,24,undirected
丁义珍,沙瑞金,5,undirected
丁义珍,李达康,9,undirected
丁义珍,陆亦可,8,undirected
丁义珍,高育良,12,undirected
丁义珍,祁同伟,13,undirected
丁义珍,赵瑞龙,3,undirected
丁义珍,蔡成功,8,undirected
赵瑞龙,侯亮平,18,undirected
赵瑞龙,沙瑞金,13,undirected
赵瑞龙,李达康,8,undirected
赵瑞龙,陆亦可,3,undirected
赵瑞龙,高育良,20,undirected
赵瑞龙,祁同伟,17,undirected
赵瑞龙,蔡成功,1,undirected
陆亦可,侯亮平,46,undirected
陆亦可,沙瑞金,1,undirected
陆亦可,李达康,3,undirected
陆亦可,高育良,6,undirected
陆亦可,祁同伟,4,undirected
陆亦可,蔡成功,17,undirected
沙瑞金,侯亮平,22,undirected
沙瑞金,李达康,31,undirected
沙瑞金,高育良,20,undirected
沙瑞金,祁同伟,16,undirected
沙瑞金,蔡成功,3,undirected
蔡成功,侯亮平,42,undirected
蔡成功,李达康,13,undirected
蔡成功,高育良,5,undirected
蔡成功,祁同伟,5,undirected
祁同伟,侯亮平,47,undirected
祁同伟,李达康,17,undirected
祁同伟,高育良,34,undirected
高育良,侯亮平,66,undirected
高育良,李达康,24,undirected
李达康,侯亮平,18,undirected
